Exeter 30/06/2011 Burglary in a building other than a dwelling: 378
Exeter 30/06/2011 Burglary in a dwelling: 397
Exeter 30/06/2011 Criminal damage: 1469
Exeter 30/06/2011 Drug offences: 497
Exeter 30/06/2011 Fraud and forgery: 233
Exeter 30/06/2011 Offences against vehicles: 671
Exeter 30/06/2011 Other offences: 216
Exeter 30/06/2011 Other theft offences: 2692
Exeter 30/06/2011 Robbery: 43
Exeter 30/06/2011 Sexual offences: 137
Exeter 30/06/2011 Violence against the person - with injury: 874
Exeter 30/06/2011 Violence against the person - without injury: 1152
